iter	Passed	Remaining
916	54608	4942
917	54665	4882
918	54718	4822
919	54776	4763
920	54835	4703
921	54891	4643
922	54945	4583
923	55001	4523
924	55058	4464
925	55118	4404
926	55172	4344
927	55235	4285
928	55300	4226
929	55352	4166
930	55414	4106
931	55464	4046
932	55515	3986
933	55567	3926
934	55628	3867
935	55683	3807
936	55747	3748
937	55812	3689
938	55870	3629
939	55935	3570
940	55987	3510
941	56036	3450
942	56096	3390
943	56151	3331
944	56207	3271
945	56264	3211
946	56317	3151
947	56378	3092
948	56436	3032
949	56490	2973
950	56543	2913
951	56601	2853
952	56654	2794
953	56700	2734
954	56762	2674
955	56819	2615
956	56870	2555
957	56933	2496
958	56997	2436
959	57059	2377
960	57104	2317
961	57159	2257
962	57206	2197
963	57265	2138
964	57323	2079
965	57376	2019
966	57439	1960
967	57495	1900
968	57554	1841
969	57608	1781
970	57675	1722
971	57723	1662
972	57773	1603
973	57829	1543
974	57888	1484
975	57948	1424
976	57996	1365
977	58048	1305
978	58108	1246
979	58167	1187
980	58218	1127
981	58273	1068
982	58337	1008
983	58394	949
984	58448	890
985	58503	830
986	58558	771
987	58616	711
988	58665	652
989	58719	593
990	58777	533
991	58827	474
992	58889	415
993	58946	355
994	59002	296
995	59061	237
996	59117	177
997	59175	118
998	59234	59
999	59271	0
